202 0 clueweb12-1701wb-32-00144 1  29.312009596891578 run1
202 0 clueweb12-0305wb-35-13201 2  26.395669645891616 run1
202 0 clueweb12-1705wb-22-13047 3  22.891721642653962 run1
202 0 clueweb12-1314wb-40-05225 4  21.42282172029038 run1
202 0 clueweb12-1304wb-62-13496 5  20.71503834935455 run1
202 0 clueweb12-0506wb-79-15485 6  20.12785253558493 run1
202 0 clueweb12-0607wb-10-15590 7  20.10250009439286 run1
202 0 clueweb12-0610wb-53-03244 8  19.36917564308891 run1
202 0 clueweb12-0502wb-65-22527 9  19.345706300204192 run1
202 0 clueweb12-0502wb-85-19374 10  19.345706300204192 run1
202 0 clueweb12-0503wb-06-01803 11  19.345706300204192 run1
202 0 clueweb12-1511wb-66-02968 12  19.332445006986394 run1
202 0 clueweb12-1511wb-82-03104 13  19.177450570984337 run1
202 0 clueweb12-0111wb-55-32161 14  18.563608359150855 run1
202 0 clueweb12-0612wb-17-27945 15  18.55187099189651 run1
202 0 clueweb12-0303wb-04-08428 16  18.426500111734395 run1
202 0 clueweb12-1116wb-59-18964 17  18.392146052261015 run1
202 0 clueweb12-1013wb-15-21838 18  18.028608875895593 run1
202 0 clueweb12-0212wb-15-25356 19  17.984488794197848 run1
202 0 clueweb12-1304wb-45-03877 20  17.81124187020878 run1
202 0 clueweb12-0304wb-36-19053 21  17.47873185582327 run1
202 0 clueweb12-0815wb-93-02795 22  17.465598842703415 run1
202 0 clueweb12-0005wb-36-15751 23  17.423696149481675 run1
202 0 clueweb12-0211wb-82-16019 24  17.397536784715086 run1
202 0 clueweb12-0008wb-33-14768 25  17.35708637782126 run1
202 0 clueweb12-0008wb-33-14769 26  17.35708637782126 run1
202 0 clueweb12-0008wb-51-23021 27  17.35708637782126 run1
202 0 clueweb12-0008wb-51-23022 28  17.35708637782126 run1
202 0 clueweb12-0008wb-51-23026 29  17.35708637782126 run1
202 0 clueweb12-0108wb-61-00476 30  17.159360192364943 run1
202 0 clueweb12-1100wb-74-12425 31  17.156053905256396 run1
202 0 clueweb12-0300wb-08-11061 32  17.021923411214523 run1
202 0 clueweb12-1104wb-79-08217 33  17.016406236532575 run1
202 0 clueweb12-0900tw-05-12646 34  16.916076730171383 run1
202 0 clueweb12-1707wb-98-07904 35  16.857530848686846 run1
202 0 clueweb12-0412wb-03-03994 36  16.81898942378274 run1
202 0 clueweb12-0502wb-85-19368 37  16.755208508024 run1
202 0 clueweb12-1007wb-78-14534 38  16.75350961576519 run1
202 0 clueweb12-0601wb-18-11856 39  16.655760151173656 run1
202 0 clueweb12-1118wb-26-26611 40  16.652671183055798 run1
