202 0 clueweb12-0602wb-40-19720 1  2.3410382671499916 run1
202 0 clueweb12-0602wb-37-16519 2  2.285926707870389 run1
202 0 clueweb12-0602wb-40-19725 3  2.285926707870389 run1
202 0 clueweb12-0602wb-37-16520 4  2.2741996338446846 run1
202 0 clueweb12-0602wb-40-19722 5  2.2741996338446846 run1
202 0 clueweb12-0602wb-40-19723 6  2.2741996338446846 run1
202 0 clueweb12-0602wb-40-19724 7  2.2741996338446846 run1
202 0 clueweb12-0602wb-40-19726 8  2.2741996338446846 run1
202 0 clueweb12-0602wb-45-15703 9  2.2741996338446846 run1
202 0 clueweb12-0602wb-45-15704 10  2.2741996338446846 run1
202 0 clueweb12-0010wb-36-02425 11  2.248593717182851 run1
202 0 clueweb12-0602wb-40-19721 12  2.223575176802758 run1
202 0 clueweb12-0601wb-18-11856 13  1.8218383832127494 run1
202 0 clueweb12-1304wb-56-00880 14  1.8018219766988357 run1
202 0 clueweb12-1304wb-62-13496 15  1.6786040925162722 run1
202 0 clueweb12-1310wb-24-26317 16  1.6726166486135896 run1
202 0 clueweb12-0304wb-36-19053 17  1.5599565877904387 run1
202 0 clueweb12-0412wb-03-03995 18  1.5542072593719298 run1
202 0 clueweb12-1100wb-74-12425 19  1.501970663843361 run1
202 0 clueweb12-0010wb-21-24657 20  1.4959203192956192 run1
202 0 clueweb12-0305wb-62-31165 21  1.457071691004337 run1
202 0 clueweb12-0204wb-17-00480 22  1.4551403485925893 run1
202 0 clueweb12-0412wb-03-03994 23  1.4281995204593538 run1
202 0 clueweb12-0111wb-55-32161 24  1.4062347776900477 run1
202 0 clueweb12-0205wb-88-32545 25  1.4006729125926491 run1
202 0 clueweb12-0406wb-97-02347 26  1.3974081036153319 run1
202 0 clueweb12-0001wb-27-33452 27  1.3974081036153319 run1
202 0 clueweb12-0412wb-15-12461 28  1.3823218436263396 run1
202 0 clueweb12-1500wb-51-10404 29  1.3737663214442086 run1
202 0 clueweb12-1511wb-66-02968 30  1.3447233294601344 run1
202 0 clueweb12-1802wb-29-21108 31  1.34083506413532 run1
202 0 clueweb12-0009wb-43-04224 32  1.3358250893755061 run1
202 0 clueweb12-1406wb-39-07752 33  1.3358250893755061 run1
202 0 clueweb12-1511wb-82-03104 34  1.3241301401714693 run1
202 0 clueweb12-0101wb-07-23584 35  1.32365639777645 run1
202 0 clueweb12-0502wb-85-19368 36  1.3191270085647873 run1
202 0 clueweb12-1205wb-18-29328 37  1.312056127972144 run1
202 0 clueweb12-0511wb-46-22481 38  1.3016925286859777 run1
202 0 clueweb12-1515wb-31-06377 39  1.2930945015342012 run1
202 0 clueweb12-0011wb-73-29217 40  1.2862835472445415 run1
202 0 clueweb12-0303wb-92-12685 41  1.2769053082462312 run1
202 0 clueweb12-0303wb-04-08428 42  1.2721474064982072 run1
202 0 clueweb12-1412wb-25-05309 43  1.2410552966661526 run1
202 0 clueweb12-1204wb-57-16947 44  1.2378719022927698 run1
202 0 clueweb12-0900tw-39-13453 45  1.2345792341387816 run1
202 0 clueweb12-1701wb-94-12199 46  1.2241373084642624 run1
202 0 clueweb12-0502wb-65-22527 47  1.2054452584353124 run1
202 0 clueweb12-0502wb-85-19374 48  1.2054452584353124 run1
202 0 clueweb12-0503wb-06-01803 49  1.2031045858221288 run1
202 0 clueweb12-0206wb-61-12908 50  1.1770934498183816 run1
202 0 clueweb12-1707wb-98-07904 51  1.152519341067923 run1
202 0 clueweb12-1704wb-81-21983 52  1.1165560311994267 run1
202 0 clueweb12-0005wb-35-09005 53  1.1062630743127166 run1
202 0 clueweb12-1112wb-22-06680 54  1.074659298819846 run1
202 0 clueweb12-1104wb-79-08217 55  1.0744175824754816 run1
202 0 clueweb12-1112wb-71-02492 56  1.072753402714955 run1
202 0 clueweb12-0612wb-17-27945 57  1.0621148885936895 run1
202 0 clueweb12-1019wb-55-07377 58  1.047721315257768 run1
202 0 clueweb12-0105wb-82-26360 59  1.0432559640293937 run1
202 0 clueweb12-0815wb-93-02795 60  1.0339587032480528 run1
202 0 clueweb12-1702wb-52-18834 61  1.0155111313920824 run1
202 0 clueweb12-0506wb-79-15485 62  0.9826724008222709 run1
202 0 clueweb12-1702wb-98-29608 63  0.9705042445649724 run1
202 0 clueweb12-1217wb-38-28443 64  0.9494938077637538 run1
202 0 clueweb12-1118wb-63-06100 65  0.938074963775353 run1
202 0 clueweb12-1701wb-94-12188 66  0.9362709667278908 run1
202 0 clueweb12-0005wb-36-15751 67  0.9347382221993675 run1
202 0 clueweb12-1216wb-29-29797 68  0.9325744055796389 run1
202 0 clueweb12-0203wb-70-20735 69  0.9308644668212519 run1
202 0 clueweb12-0805wb-29-00101 70  0.9268585595260698 run1
202 0 clueweb12-0008wb-33-14768 71  0.9241284484830867 run1
202 0 clueweb12-0008wb-33-14769 72  0.9241284484830867 run1
202 0 clueweb12-0008wb-51-23021 73  0.9241284484830867 run1
202 0 clueweb12-0008wb-51-23022 74  0.9241284484830867 run1
202 0 clueweb12-0008wb-51-23026 75  0.9241284484830867 run1
202 0 clueweb12-0511wb-25-03910 76  0.914283353298902 run1
202 0 clueweb12-1115wb-62-18179 77  0.9048993840518448 run1
202 0 clueweb12-1702wb-39-29389 78  0.9039215422703729 run1
202 0 clueweb12-0606wb-58-19274 79  0.8872038884285782 run1
